"ID","Title","Year","IMDb","Language"
"3687","Star Trek III: The Search for Spock","1984","6.7","English,Klingon,Russian,French"
"3688","Cashback","2006","7.2","English,Spanish"
"3689","Juliet, Naked","2018","6.6","English"
"3690","The Absent One","2014","7.1","Danish,English,French"
"3691","Big Time Adolescence","2020","7","English"
"3692","Get Smart","2008","6.5","English,Russian,Punjabi,Arabic"
"3693","Life, Animated","2016","7.5","English"
"3694","Sands of Iwo Jima","1949","7.1","English"
"3695","Killer Joe","2011","6.7","English"
"3696","Sword Art Online: The IteratorPattern.Movies.Movie - Ordinal Scale","2017","7.4","Japanese"
"3697","The Wave","2015","6.7","English"
"3698","Colossal","2016","6.2","English,Korean"
"3699","Luce","2019","6.7","English"
"3700","Oculus","2014","6.5","English"
"3701","Standing in the Shadows of Motown","2002","7.8","English"
"3702","Borg vs McEnroe","2017","6.9","English,Swedish,French,Spanish,German"
"3703","Denial","2016","6.7","English,German,Hebrew"
"3704","Best of Enemies","2015","7.6","English"
"3705","Prospect","2018","6.2","English"
"3706","Arbitrage","2012","6.6","English"
"3707","Plus One","2019","6.6","English"
"3708","Active Measures","2018","7.9","English"
"3709","Amazing Grace","2018","7.5","English"
"3710","The Art of Self-Defense","2019","6.7","English,French,German"
"3711","The Clovehitch Killer","2018","6.5","English"
"3712","Rare Exports: A Christmas Tale","2010","6.7","Finnish,English"
"3713","Venus in Fur","2013","7.2","French,German"
"3714","Jackass 3D","2010","7","English"
"3715","I Kill Giants","2018","6.2","English"
"3716","The Queen of Versailles","2012","7.1","French,English"
"3717","2 Days in Paris","2007","6.8","English,French"
"3718","The Wrecking Crew","2008","7.6","English"
"3719","The Villainess","2017","6.7","Korean"
"3720","Europa Report","2013","6.4","English,Russian,Chinese"
"3721","The Cooler","2003","6.9","English"
"3722","In the Fade","2017","7.1","German,Greek,English,Turkish"
"3723","The Road to El Dorado","2000","6.9","English"
"3724","Christine","2016","6.9","English"
"3725","Hearts Beat Loud","2018","6.9","English"
"3726","Whitney","2018","7.3","English"
"3727","Angel of Mine","2019","6.5","English"
"3728","Hounds of Love","2016","6.5","English"
"3729","Pawn Sacrifice","2015","7","English,Russian"
"3730","Transformers: Dark of the Moon","2011","6.2","English"
"3731","Ben Is Back","2018","6.7","English"
"3732","Wayne's World 2","1993","6.2","English,Cantonese"
"3733","No Strings Attached","2011","6.2","English,Ukrainian"
"3734","Along with the Gods: The Two Worlds","2017","7.3","Korean"
"3735","Young & Beautiful","2013","6.7","French,German"
"3736","The Pirates! In an Adventure with Scientists!","2012","6.7","English"
"3737","Lo and Behold: Reveries of the Connected World","2016","7","English"
"3738","Operation Finale","2018","6.6","English,Spanish,French,German"
"3739","78/52","2017","7.3","English"
"3740","Gloria","2013","6.8","English"
"3741","Princess Cyd","2017","6.7","English"
"3742","The Domestics","2018","5.7","English"
"3743","Andy Irons: Kissed by God","2018","8.3","English"
"3744","Joe Strummer: The Future Is Unwritten","2007","7.6","English"
"3745","The Commuter","2018","6.3","English,Spanish"
"3746","Dirty Wars","2013","7.5","English,Pushto,Somali,Dari,Arabic"
"3747","Soul Food","1997","7","English"
"3748","Sidewalls","2011","7.5","Spanish,French,English,Italian,German"
"3749","Miss Stevens","2016","6.6","English"
"3750","Footloose","2011","5.9","English"
"3751","Charlotte's Web","1973","6.9","English"
"3752","Shirley Valentine","1989","7.2","English"
"3753","Drinking Buddies","2013","6.1","English"
"3754","The Keeper of Lost Causes","2013","7.2","Danish,Swedish,Arabic"
"3755","Sea of Shadows","2019","7.2","English,Spanish"
"3756","Oh Lucy!","2017","6.8","English,Japanese"
"3757","The Spy Who Dumped Me","2018","6","English,Russian,French,Lithuanian,German"
"3758","Skate Kitchen","2018","6.8","English,Spanish"
"3759","Experimenter","2015","6.6","English"
"3760","What They Had","2018","6.6","English"
"3761","Burn","2012","7.5","English"
"3762","Margarita with a Straw","2015","7.2","Hindi,English"
"3763","Odd Thomas","2013","6.8","English"
"3764","Every Day","2018","6.4","English"
"3765","Nothing Like a Dame","2018","7.3","English"
"3766","Brian Banks","2019","7.1","English"
"3767","It's a Disaster","2013","6.4","English"
"3768","The Little Death","2014","7.1","English,Australian Sign Language"
"3769","Becoming Bond","2017","7.5","English"
"3770","After the Screaming Stops","2018","7.1","English"
"3771","Slums of Beverly Hills","1998","6.6","English"
"3772","Lords of Chaos","2019","6.5","English"
"3773","The Frozen Ground","2013","6.4","English,French"
"3774","Paranoid Park","2007","6.7","English"
"3775","The Hunchback of Notre Dame","1923","7.3","English,Latin"
"3776","Support the Girls","2018","6.4","English"
"3777","The China Hustle","2018","7.2","English"
"3778","Paranormal Activity 3","2011","5.8","English"
"3779","Death Wish","2018","6.4","English,Spanish"
"3780","Cold Case Hammarskjöld","2019","7.6","English,French,Swedish,Bemba,Danish"
"3781","Anna and the Apocalypse","2017","6","English"
"3782","Somm","2013","7","English,Italian,German,French"
"3783","Love, Gilda","2018","7.4","English,French"
"3784","Star Trek: Insurrection","1998","6.4","English"
"3785","Bad Company","1972","7","English"
"3786","Dior and I","2015","7.3","French,English,Italian"
"3787","Where'd You Go, Bernadette","2019","6.5","English"
"3788","Gorky Park","1983","6.8","English"
"3789","Beach Rats","2017","6.4","English"
"3790","Manderlay","2005","7.3","English"
"3791","High Strung","2016","6.4","English"
"3792","The Last Days","2013","6.1","Spanish,Catalan"
"3793","Free Willy","1993","6","English"
"3794","First Girl I Loved","2016","6.1","English,Spanish"
"3795","Man on a Ledge","2012","6.6","English,Spanish"
"3796","Barking Dogs Never Bite","2000","7","Korean"
"3797","Destroyer","2018","6.2","English"
"3798","Meek's Cutoff","2010","6.5","English"
"3799","No One Knows About Persian Cats","2009","7.1","Persian"
"3800","Villains","2019","6.2","English"
"3801","The Limehouse Golem","2016","6.3","Yiddish,English,Irish,Chinese,Hebrew"
"3802","Walking Tall","1973","7","English"
"3803","Tragedy Girls","2017","6","English"
"3804","Pet Sematary","2019","5.7","English"
"3805","The Overnight","2015","6.1","English,French"
"3806","Star Trek: The Motion Picture","1979","6.4","English,Klingon"
"3807","Crime + Punishment","2018","7.4","English"
"3808","Vincere","2009","6.9","Italian,German"
"3809","Southbound","2015","5.9","English"
"3810","The Quake","2018","6.2","Norwegian"
"3811","American Ultra","2015","6.1","English,Mandarin"
"3812","Hellbound: Hellraiser II","1988","6.5","English"
"3813","The Hero","2017","6.5","English"
"3814","Tom of Finland","2017","6.8","Finnish,English,German"
"3815","Fyre Fraud","2019","6.8","English"
"3816","David Crosby: Remember My Name","2019","7.2","English,Italian"
"3817","Gilbert","2017","7.4","English"
"3818","Framing John DeLorean","2019","6.4","English"
"3819","Marrowbone","2017","6.6","English"
"3820","Kusama : Infinity","2018","7.2","English,Japanese"
"3821","Please Stand By","2018","6.7","English"
"3822","Those People","2015","6.5","English"
"3823","The Time That Remains","2009","7.1","Arabic,Hebrew,English"
"3824","The Mexican","2001","6.1","English,Spanish"
"3825","Paranormal Activity 2","2010","5.6","English,Spanish"
"3826","Red Dog: True Blue","2016","6.4","English"
"3827","Assassination Nation","2018","5.9","English,Italian"
"3828","Friends with Kids","2012","6.1","English"
"3829","Diana Vreeland: The Eye Has to Travel","2012","7.5","English,French,Italian"
"3830","I Remember You","2017","6.1","Icelandic"
"3831","Forever My Girl","2018","6.7","English"
"3832","The Furies","1950","7.3","English"
"3833","Meeting Gorbachev","2019","7.2","English,Russian,German,Polish"
"3834","Welcome to the Rileys","2010","7","English"
"3835","Hector and the Search for Happiness","2014","7","English,French,German"
"3836","Bad Reputation","2018","7.3","English"
"3837","Waiting to Exhale","1995","5.9","English"
"3838","Pyewacket","2017","5.8","English"
"3839","The Swan Princess","1994","6.4","English"
"3840","Grabbers","2012","6.3","English"
"3841","Aniara","2019","6.2","Swedish,Spanish,English"
"3842","The Housemaid","2010","6.4","Korean,English"
"3843","Little Woods","2018","6.1","English"
"3844","Elvira, Mistress of the Dark","1988","6.6",""
"3845","In Search of Greatness","2018","6.6","English"
"3846","Food Evolution","2017","7","English"
"3847","Sinbad: Legend of the Seven Seas","2003","6.7","English,Cantonese,Italian"
"3848","The Den","2013","6","English"
"3849","Wolf Warrior 2","2017","6","Mandarin,English,French"
"3850","Dumb: The Story of Big Brother Magazine","2017","7.2","English"
"3851","Goodbye First Love","2011","6.6","French,German,Danish,English"
"3852","The 33","2015","6.9","English,Spanish"
"3853","Mike Wallace Is Here","2019","7.2","English,Russian,Persian"
"3854","March of the Penguins 2","2017","6.6","English,French"
"3855","Teen Spirit","2019","6.1","English,Polish"
"3856","Seymour: An Introduction","2015","7.4","English"
"3857","The Man Who Killed Hitler and Then the Bigfoot","2019","5.6","English,Russian"
"3858","The Childhood of a Leader","2016","6.1","English,French,German"
"3859","The Standoff at Sparrow Creek","2019","6.2","English"
"3860","A Very Sordid Wedding","2017","5.3","English"
"3861","Toni Morrison: The Pieces I Am","2019","7.1","English"
"3862","Dina","2017","6.8","English,Italian"
"3863","Dog Days","2018","6.2","English"
"3864","Monsters and Men","2018","5.7","English"
"3865","The Canal","2014","5.8","English"
"3866","Leap Year","2010","6.5","English,Ukrainian"
