movie,year,rating,imdb_rating,reelgood_rating
The Fountain,2006,13+,7.2,78
A Hidden Life,2019,13+,7.4,78
Opening Night,1977,13+,8,78
My Big Fat Greek Wedding,2002,7+,6.5,77
Ruby Sparks,2012,18+,7.2,77
The Frighteners,1996,18+,7.1,77
Cobain: Montage of Heck,2015,18+,7.5,77
Confessions of a Dangerous Mind,2002,18+,7,77
Lights Out,2016,13+,6.3,77
Motherless Brooklyn,2019,18+,6.8,77
Spielberg,2017,18+,7.7,77
Martha Marcy May Marlene,2011,18+,6.9,77
Quadrophenia,1979,18+,7.3,77
Behind the Candelabra,2013,18+,7,77
The Art of Racing in the Rain,2019,7+,7.6,77
Andre the Giant,2018,16+,7.8,77
And the Band Played On,1993,13+,7.8,77
Uncle Buck,1989,7+,7,77
Commando,1985,18+,6.7,77
Mommy Dead and Dearest,2017,18+,7.4,77
Birds of Passage,2018,N/A,7.5,76
Dune,1984,13+,6.5,76
Benny & Joon,1993,7+,7.2,76
Flags of Our Fathers,2006,18+,7,76
All the Way,2016,16+,7.3,76
Boy Erased,2018,18+,6.9,76
The Last Unicorn,1982,all,7.5,76
Diego Maradona,2019,16+,7.7,76
The Good Liar,2019,18+,6.6,76
Muriel's Wedding,1994,18+,7.2,76
Living in Oblivion,1995,18+,7.5,76
Godzilla: King of the Monsters,2019,13+,6,76
Out of Africa,1985,7+,7.2,76
61*,2001,18+,7.8,76
You Don't Know Jack,2010,N/A,7.6,76
Storks,2016,7+,6.8,75
Looking: The Movie,2016,18+,7.5,75
Flushed Away,2006,7+,6.6,75
He Got Game,1998,18+,6.9,75
Dragged Across Concrete,2019,18+,7,75
Another Earth,2011,13+,7,75
Emma,1996,7+,6.6,75
Home Alone 2: Lost in New York,1992,7+,6.8,75
Their Finest,2017,18+,6.8,75
Scanners,1981,18+,6.8,75
American Pie 2,2001,18+,6.4,75
Citizen X,1995,18+,7.5,75
Bad Lieutenant,1992,18+,7.1,75
In Time,2011,13+,6.7,75
Beautiful Girls,1996,18+,7.1,75
The Last Seduction,1994,18+,7,75
The Namesake,2006,13+,7.5,75
Akeelah and the Bee,2006,7+,7.3,75
Like Water for Chocolate,1992,18+,7.1,74
Get on Up,2014,13+,6.9,74
Innerspace,1987,7+,6.8,74
Death Becomes Her,1992,13+,6.6,74
Wit,2001,13+,8,74
Mea Maxima Culpa: Silence in the House of God,2012,16+,8,74
Weird Science,1985,13+,6.6,74
Adventures in Babysitting,1987,13+,6.9,74
Little Manhattan,2005,7+,7.5,74
Last Christmas,2019,13+,6.5,74
Momentum Generation,2018,16+,8.1,74
Annabelle Comes Home,2019,18+,5.9,74
She's the Man,2006,13+,6.3,74
The Mustang,2019,18+,6.9,74
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,16+,8,74
Victoria & Abdul,2017,13+,6.8,74
The Hitcher,1986,18+,7.2,73
Beavis and Butt-Head Do America,1996,13+,6.8,73
The Towering Inferno,1974,7+,7,73
Running Scared,2006,18+,7.4,73
The Chronicles of Riddick,2004,13+,6.7,73
The Inventor: Out for Blood in Silicon Valley,2019,16+,7.1,73
Tess,1979,7+,7.3,73
Stuber,2019,18+,6.2,73
American Reunion,2012,18+,6.7,73
Becoming Jane,2007,7+,7,73
Life,1999,18+,6.8,73
Much Ado About Nothing,2012,13+,7.1,73
The Hangover Part II,2011,18+,6.4,73
4 Little Girls,1997,16+,7.8,73
U-571,2000,13+,6.6,73
River's Edge,1986,18+,7,73
Paradise Lost 2: Revelations,2000,N/A,7.6,73
Jane Fonda in Five Acts,2018,16+,8,73
Chris Rock: Bigger & Blacker,1999,18+,8,73
Grey Gardens,2009,7+,7.4,73
Miss Pettigrew Lives for a Day,2008,13+,7.1,73
The Hills Have Eyes,2006,18+,6.4,73
Too Big to Fail,2011,18+,7.3,73
The Stepfather,1987,18+,6.8,73
Tolkien,2019,13+,6.8,73
7 Days in Hell,2015,18+,7.1,72
Game Change,2012,18+,7.4,72
Alien?,1992,18+,6.5,72
White Oleander,2002,13+,7.1,72
Something Wild,1986,18+,6.9,72
Pearl Harbor,2001,13+,6.2,72
El Norte,1983,18+,7.7,72
The Sunset Limited,2011,18+,7.4,72
The Prime of Miss Jean Brodie,1969,7+,7.6,72
Tour de Pharmacy,2017,18+,7.1,72
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,N/A,8.3,72
John Q,2002,13+,7.1,72
Marvin's Room,1996,13+,6.7,72
American Woman,2018,18+,6.8,72
Every Brilliant Thing,2016,N/A,8.5,72
X-Men: Dark Phoenix,2019,13+,5.8,72
Recount,2008,18+,7.4,72
Night Shift,1982,18+,6.6,72
Glass,2019,13+,6.7,72
Brexit: The Uncivil War,2019,16+,7,71
The Wizard of Lies,2017,18+,6.8,71
Flight of the Conchords: Live in London,2018,16+,8.3,71
